кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,1251,11.316146540027137,0.0,0.0
1,1560,14.111261872455902,6.0256410256410255,1.9191506737443855
2,1497,13.541383989145183,100.0,30.563495304205798
3,972,8.792401628222525,40.32921810699588,8.003266639444671
4,1795,16.23699683401176,99.16434540389972,36.34136382196815
5,1154,10.438715513342379,29.896013864818023,7.043691302572479
6,1273,11.515151515151516,53.574234092694425,13.924050632911392
7,1553,14.0479421076436,6.95428203477141,2.2049816251531236
ИТОГО,11055,100.0,,100.0
