кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,1333,12.057892356399819,0.0,0.0
1,3079,27.851650836725465,20.78596947060734,13.066557778685178
2,2726,24.65852555404794,99.33969185619956,55.28787260106166
3,637,5.762098597919493,51.64835164835165,6.717027358105349
4,1396,12.627770239710538,6.80515759312321,1.939567170273581
5,538,4.866576209859792,100.0,10.984075132707227
6,331,2.9941203075531435,16.61631419939577,1.1229073091057575
7,1015,9.181365897783808,52.51231527093596,10.88199265006125
ИТОГО,11055,100.0,,100.0
