cluster,count,percent_of_total,phishing_percent_in_cluster,phishing_share_of_all_phishing
0,1339,12.11216644052465,43.39058999253174,11.861984483462638
1,4502,40.723654454997735,69.74677920924034,64.10779910167415
2,2601,23.527815468113975,6.382160707420223,3.389138423846468
3,953,8.62053369516056,21.30115424973767,4.144548795426704
4,407,3.681592039800995,40.29484029484029,3.3483054307880766
5,256,2.3156942559927636,83.59375,4.369130257247856
6,997,9.018543645409316,43.12938816449348,8.779093507554103
TOTAL,11055,100.0,,100.0
