feature,feature_ru,weight
SSLfinal_State,Статус_SSL,0.3052884921842716
URL_of_Anchor_phish,Фишинговый_домен_автора,0.17475390423057927
URL_of_Anchor_legit,Легитимный_домен_автора,0.0653207957483382
URL_of_Anchor_suspic,Подозрительный_домен_автора,0.04577389023992947
having_Sub_Domain_legit,Число_поддоменов,0.041852596018124084
web_traffic_high,Высокий_веб_трафик,0.03943317309127644
Prefix_Suffix,Дефис_в_домене,0.03780204612611708
Links_in_tags,Ссылки_в_тегах,0.033272094792258455
web_traffic_middle,Средний_веб_трафик,0.027139467947706747
Request_URL,Внешние_ресурсы,0.019146392152887635
age_of_domain,Возраст_домена,0.01754504126952474
Domain_registeration_length,Срок_регистрации,0.015747318932731652
having_Sub_Domain_suspic,Подозрительные_поддомены,0.014795187560390511
Links_pointing_to_page,Внешние_ссылки,0.014551210421676291
having_IP_Address,IP_вместо_домена,0.01297030248947773
Google_Index,Индекс_Google,0.012966401836757159
DNSRecord,DNS_записи,0.012186622354797812
Page_Rank,Оценка PageRank,0.011769343775423925
SFH,Обработчик_форм,0.011473248295159298
web_traffic_low,Низкий_веб_трафик,0.01134363103156439
having_Sub_Domain_phish,Фишинговые_поддомены,0.009992667658728173
URL_Length,Длина_URL,0.008661347246106904
HTTPS_token,HTTPS_в_домене,0.005811067134409129
Redirect,Число_редиректов,0.0055919139257725875
having_At_Symbol,Символ_@,0.005267263259663966
Shortining_Service,Сервис_сокращения,0.0050315468312941685
Submitting_to_email,Отправка_на_почту,0.0049895046899971224
Statistical_report,Фishing_в_отчетах,0.0045872645835224905
popUpWidnow,Всплывающие_окна,0.0044445929956805534
Abnormal_URL,Аномальный_URL,0.004129806381519032
Favicon,Сторонняя_иконка,0.003690413708505987
double_slash_redirecting,Двойной_слеш,0.003320545192987529
on_mouseover,Эффект_наведения,0.002923588093908851
Iframe,Невидимый_iframe,0.002506894878002369
port,Подозрительный_порт,0.002174407130807756
RightClick,Правый_клик,0.0017460157901008355
