cluster,count,percent_of_total,phishing_percent_in_cluster,phishing_share_of_all_phishing
0,1209,10.936227951153324,34.49131513647643,8.513679052674561
1,3940,35.639981908638624,18.95939086294416,15.251122907309107
2,997,9.018543645409316,43.12938816449348,8.779093507554103
3,4502,40.723654454997735,69.74677920924034,64.10779910167415
4,407,3.681592039800995,40.29484029484029,3.3483054307880766
TOTAL,11055,100.0,,100.0
