кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,1844,16.680235187697875,47.342733188720175,17.82360146998775
1,9211,83.31976481230213,43.697752687004666,82.17639853001225
ИТОГО,11055,100.0,,100.0
