кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,7791,70.47489823609227,21.203953279424976,33.72805226623112
1,3264,29.525101763907735,99.44852941176471,66.27194773376888
ИТОГО,11055,100.0,,100.0
