кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,1494,13.514246947082768,45.046854082998664,13.740302164148632
1,1338,12.103120759837179,49.02840059790732,13.393221723152307
2,1734,15.685210312075984,93.02191464821223,32.93180890159249
3,1139,10.303030303030303,30.02633889376646,6.9824418129848915
4,3041,27.507914970601536,10.259782966129563,6.369946917109024
5,1052,9.516056083220262,98.85931558935361,21.233156390363412
6,1257,11.370420624151967,20.84327764518695,5.349122090649245
ИТОГО,11055,100.0,,100.0
