кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,501,4.531886024423338,96.6067864271457,9.881584320130665
1,1203,10.881953867028495,9.559434746467165,2.3478971008574927
2,2201,19.909543193125284,2.1353930031803725,0.9595753368721928
3,1468,13.279059249208503,83.65122615803814,25.071457737852185
4,1064,9.624604251469924,25.75187969924812,5.594120048999591
5,825,7.462686567164179,10.181818181818182,1.7149857084524296
6,1862,16.843057440072364,58.96885069817401,22.41731318905676
7,468,4.233378561736771,46.36752136752137,4.430379746835443
8,1463,13.233830845771145,92.3444976076555,27.58268681094324
ИТОГО,11055,100.0,,100.0
