кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,4094,37.033016734509275,28.651685393258425,23.948550428746426
1,1333,12.057892356399819,0.0,0.0
2,2726,24.65852555404794,99.33969185619956,55.28787260106166
3,637,5.762098597919493,51.64835164835165,6.717027358105349
4,1396,12.627770239710538,6.80515759312321,1.939567170273581
5,538,4.866576209859792,100.0,10.984075132707227
6,331,2.9941203075531435,16.61631419939577,1.1229073091057575
ИТОГО,11055,100.0,,100.0
