cluster,count,percent_of_total,phishing_percent_in_cluster,phishing_share_of_all_phishing
231,8,0.07236544549977386,0.0,0.0
232,7,0.06331976481230213,42.857142857142854,0.06124948958758677
233,6,0.054274084124830396,100.0,0.12249897917517354
234,8,0.07236544549977386,0.0,0.0
235,8,0.07236544549977386,0.0,0.0
236,6,0.054274084124830396,0.0,0.0
237,7,0.06331976481230213,0.0,0.0
238,5,0.045228403437358664,0.0,0.0
239,6,0.054274084124830396,66.66666666666667,0.08166598611678236
240,5,0.045228403437358664,0.0,0.0
241,6,0.054274084124830396,0.0,0.0
242,6,0.054274084124830396,0.0,0.0
243,6,0.054274084124830396,0.0,0.0
244,6,0.054274084124830396,0.0,0.0
245,5,0.045228403437358664,100.0,0.10208248264597795
246,6,0.054274084124830396,0.0,0.0
247,6,0.054274084124830396,0.0,0.0
248,7,0.06331976481230213,0.0,0.0
249,10,0.09045680687471733,50.0,0.10208248264597795
250,5,0.045228403437358664,0.0,0.0
251,7,0.06331976481230213,0.0,0.0
252,6,0.054274084124830396,0.0,0.0
253,8,0.07236544549977386,0.0,0.0
254,6,0.054274084124830396,0.0,0.0
255,5,0.045228403437358664,100.0,0.10208248264597795
256,8,0.07236544549977386,0.0,0.0
257,10,0.09045680687471733,10.0,0.02041649652919559
258,5,0.045228403437358664,100.0,0.10208248264597795
259,6,0.054274084124830396,100.0,0.12249897917517354
260,6,0.054274084124830396,83.33333333333333,0.10208248264597795
261,7,0.06331976481230213,0.0,0.0
262,7,0.06331976481230213,71.42857142857143,0.10208248264597795
263,6,0.054274084124830396,100.0,0.12249897917517354
264,6,0.054274084124830396,0.0,0.0
265,7,0.06331976481230213,100.0,0.14291547570436913
266,5,0.045228403437358664,100.0,0.10208248264597795
-1,9162,82.87652645861601,47.227679545950664,88.34218048182932
TOTAL,11055,100.0,,100.0
