cluster,count,percent_of_total,phishing_percent_in_cluster,phishing_share_of_all_phishing
0,718,6.4947987336047035,46.100278551532035,6.757860351163741
1,1250,11.307100859339664,30.96,7.901184156798693
2,3265,29.534147444595206,10.781010719754978,7.186606778276848
3,1142,10.330167345092718,30.472854640980735,7.104940792160066
4,2944,26.63048394391678,83.69565217391305,50.306247447937935
5,931,8.421528720036182,70.89151450053706,13.474887709269089
6,805,7.281772953414745,44.22360248447205,7.26827276439363
TOTAL,11055,100.0,,100.0
