cluster,count,percent_of_total,phishing_percent_in_cluster,phishing_share_of_all_phishing
0,1690,15.287200361827228,47.928994082840234,16.537362188648427
1,5814,52.59158751696065,14.086687306501547,16.721110657411188
2,3551,32.121212121212125,92.0585750492819,66.74152715394038
TOTAL,11055,100.0,,100.0
