кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,1520,13.749434644957033,45.13157894736842,14.005716619028174
1,1628,14.72636815920398,23.402948402948404,7.77868517762352
2,1846,16.698326549072817,93.98699891657638,35.42262147815435
3,1144,10.348258706467663,30.506993006993007,7.125357288689261
4,3248,29.380370872908188,9.913793103448276,6.57411188240098
5,1669,15.097241067390321,85.380467345716,29.093507554103716
ИТОГО,11055,100.0,,100.0
