кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,1257,11.370420624151967,53.46062052505967,13.719885667619437
1,1499,13.559475350520126,100.0,30.60432829726419
2,1553,14.0479421076436,6.95428203477141,2.2049816251531236
3,1382,12.501130710085935,0.0,0.0
4,2094,18.941655359565807,31.088825214899714,13.291139240506329
5,1794,16.227951153324288,99.1638795986622,36.32094732543896
6,1476,13.351424694708276,12.804878048780488,3.8587178440179666
ИТОГО,11055,100.0,,100.0
